lista,participantes,par,nomes,transcript,mantem,motivo
2,2n,parB.pontudo,Guritégo,gu-ri-'te-go,s,
2,2o,parB.pontudo,Ligueligue,li-ge-'li-ge,s,
2,2p,parB.pontudo,Susuçaba,su-zu-'sa-ba,s,
2,2q,parB.pontudo,Crisite,kri-'zi-te,s,
2,2r,parB.pontudo,Quizá,ki-'za,s,
2,2s,parB.pontudo,lestasa,les-'ta-za,s,
2,2t,parB.pontudo,Mimaco,mi-'ma-ko,s,
2,2u,parB.pontudo,Frizito,fri-'zi-to,s,
2,2v,parB.pontudo,Ilusondas,i-lu-'z~o-das,n,palavra do pb
2,2w,parB.pontudo,Trincele,tr~i-'se-le,s,
2,2y,parB.pontudo,Tricojom,tri-'ko-Z~o,s,
